Age,Churn,Number of Referrals,Contract,Dependents,Married,Premium Tech Support,Referred a Friend
60,Yes,0,Month-to-month,No,No,No,No
57,Yes,0,Month-to-month,No,No,No,No
57,Yes,0,Month-to-month,No,No,No,No
77,Yes,0,Month-to-month,No,Yes,No,No
53,Yes,0,Month-to-month,Yes,No,No,No
66,Yes,1,Month-to-month,No,Yes,No,Yes
56,Yes,0,Month-to-month,No,No,No,No
80,Yes,0,Month-to-month,No,No,No,No
68,Yes,0,Month-to-month,No,No,No,No
48,Yes,0,Month-to-month,No,No,No,No
30,Yes,0,Two year,No,Yes,No,No
54,Yes,0,Month-to-month,No,No,No,No
50,Yes,3,Month-to-month,No,Yes,No,Yes
25,Yes,0,Month-to-month,No,No,No,No
34,Yes,0,Month-to-month,No,No,Yes,No
42,Yes,0,Month-to-month,No,No,No,No
37,Yes,0,One year,Yes,No,No,No
48,Yes,5,One year,Yes,Yes,No,Yes
49,Yes,0,One year,No,No,No,No
78,Yes,0,Month-to-month,No,Yes,No,No
47,Yes,0,Month-to-month,No,No,No,No
74,Yes,0,Month-to-month,No,No,No,No
62,Yes,0,Month-to-month,Yes,No,No,No
53,Yes,0,Month-to-month,No,No,No,No
74,Yes,1,One year,No,Yes,Yes,Yes
65,Yes,0,Month-to-month,No,No,No,No
62,Yes,0,Month-to-month,No,No,No,No
40,Yes,0,Month-to-month,No,No,No,No
24,Yes,4,One year,Yes,Yes,No,Yes
70,Yes,0,Month-to-month,No,No,No,No
64,Yes,1,Month-to-month,No,Yes,No,Yes
53,Yes,0,One year,No,No,Yes,No
55,Yes,0,Month-to-month,No,No,No,No
19,Yes,4,Month-to-month,No,Yes,No,Yes
70,Yes,3,Month-to-month,No,Yes,No,Yes
75,Yes,0,Month-to-month,No,No,No,No
38,Yes,1,Month-to-month,Yes,Yes,No,Yes
70,Yes,0,Month-to-month,No,No,No,No
39,Yes,0,Month-to-month,No,No,No,No
21,Yes,0,Month-to-month,No,No,No,No
71,Yes,1,Month-to-month,No,Yes,No,Yes
48,Yes,0,Month-to-month,No,No,Yes,No
79,Yes,1,Month-to-month,Yes,Yes,No,Yes
79,Yes,0,Month-to-month,No,No,No,No
39,Yes,0,Month-to-month,Yes,No,No,No
73,Yes,1,Month-to-month,No,Yes,No,Yes
74,Yes,1,Month-to-month,No,Yes,No,Yes
61,Yes,1,One year,No,Yes,Yes,Yes
58,Yes,1,Month-to-month,No,Yes,No,Yes
27,Yes,1,Month-to-month,Yes,Yes,No,Yes
24,Yes,1,Month-to-month,No,Yes,No,Yes
31,Yes,1,One year,No,Yes,No,Yes
80,Yes,1,One year,No,Yes,Yes,Yes
69,Yes,1,Month-to-month,No,Yes,No,Yes
47,Yes,1,Month-to-month,No,Yes,No,Yes
20,Yes,0,Month-to-month,No,No,No,No
44,Yes,0,Month-to-month,No,No,No,No
48,Yes,0,Month-to-month,No,No,No,No
71,Yes,0,Month-to-month,No,No,No,No
63,Yes,1,Two year,Yes,Yes,Yes,Yes
73,Yes,0,Month-to-month,No,No,No,No
52,Yes,0,One year,No,No,Yes,No
20,Yes,0,Month-to-month,Yes,No,No,No
53,Yes,0,Month-to-month,No,No,No,No
60,Yes,0,Month-to-month,No,No,No,No
43,Yes,0,Month-to-month,No,No,No,No
21,Yes,5,Month-to-month,No,Yes,No,Yes
79,Yes,0,Month-to-month,No,No,No,No
51,Yes,1,Month-to-month,No,Yes,No,Yes
57,Yes,0,Month-to-month,No,No,No,No
67,Yes,1,Month-to-month,No,Yes,Yes,Yes
53,Yes,1,Month-to-month,Yes,Yes,No,Yes
25,Yes,1,Month-to-month,Yes,Yes,No,Yes
59,Yes,1,Month-to-month,Yes,Yes,No,Yes
62,Yes,1,Month-to-month,No,Yes,No,Yes
58,Yes,0,Month-to-month,No,No,Yes,No
31,Yes,0,Month-to-month,No,No,No,No
49,Yes,0,Month-to-month,No,No,Yes,No
59,Yes,1,Month-to-month,Yes,Yes,No,Yes
19,Yes,1,Month-to-month,No,Yes,No,Yes
72,Yes,1,Month-to-month,No,Yes,Yes,Yes
52,Yes,1,Month-to-month,Yes,Yes,No,Yes
38,Yes,1,Two year,Yes,Yes,Yes,Yes
75,Yes,0,Month-to-month,No,No,No,No
26,Yes,0,Month-to-month,No,No,No,No
49,Yes,0,Month-to-month,No,No,No,No
61,Yes,0,One year,No,No,No,No
76,Yes,0,Month-to-month,No,No,Yes,No
64,Yes,3,Month-to-month,Yes,Yes,No,Yes
26,Yes,0,Month-to-month,No,No,No,No
69,Yes,0,Month-to-month,No,No,No,No
20,Yes,0,One year,No,No,No,No
39,Yes,0,Month-to-month,No,No,No,No
20,Yes,0,Month-to-month,No,No,Yes,No
42,Yes,0,Month-to-month,No,No,No,No
62,Yes,1,Month-to-month,No,Yes,No,Yes
22,Yes,0,Month-to-month,No,No,No,No
38,Yes,0,Month-to-month,No,No,No,No
46,Yes,4,Month-to-month,Yes,Yes,No,Yes
76,Yes,0,Month-to-month,No,No,No,No
48,Yes,0,Month-to-month,No,No,No,No
61,Yes,0,Month-to-month,No,No,No,No
61,Yes,0,Month-to-month,No,No,No,No
68,Yes,0,Month-to-month,No,No,No,No
77,Yes,1,Month-to-month,No,Yes,No,Yes
30,Yes,0,One year,No,No,Yes,No
40,Yes,0,Month-to-month,No,No,No,No
62,Yes,3,Month-to-month,No,Yes,No,Yes
49,Yes,0,Month-to-month,No,No,No,No
39,Yes,0,Month-to-month,No,No,Yes,No
67,Yes,0,Month-to-month,No,No,No,No
35,Yes,0,Month-to-month,No,Yes,No,No
67,Yes,0,Month-to-month,No,No,No,No
57,Yes,1,Two year,No,Yes,Yes,Yes
43,Yes,0,Month-to-month,No,No,No,No
25,Yes,0,Month-to-month,No,No,No,No
76,Yes,1,Month-to-month,No,Yes,No,Yes
46,Yes,0,Month-to-month,No,No,No,No
56,Yes,0,Month-to-month,No,No,No,No
27,Yes,0,Month-to-month,Yes,Yes,No,No
31,Yes,0,Month-to-month,No,No,No,No
43,Yes,0,Month-to-month,Yes,No,No,No
66,Yes,0,Month-to-month,No,No,No,No
80,Yes,0,Month-to-month,No,No,No,No
33,Yes,3,One year,Yes,Yes,Yes,Yes
38,Yes,5,Month-to-month,No,Yes,No,Yes
78,Yes,1,Month-to-month,No,Yes,No,Yes
35,Yes,0,Month-to-month,No,No,No,No
40,Yes,0,Month-to-month,No,No,Yes,No
57,Yes,2,One year,Yes,Yes,No,Yes
69,Yes,1,Month-to-month,No,Yes,No,Yes
78,Yes,0,Month-to-month,No,No,No,No
78,Yes,1,Month-to-month,No,Yes,No,Yes
68,Yes,1,One year,No,Yes,No,Yes
56,Yes,0,Month-to-month,Yes,No,No,No
39,Yes,0,Month-to-month,No,No,No,No
52,Yes,1,Month-to-month,Yes,Yes,No,Yes
34,Yes,0,Month-to-month,No,No,No,No
43,Yes,0,Month-to-month,No,No,No,No
53,Yes,0,Month-to-month,No,No,No,No
25,Yes,1,Month-to-month,Yes,Yes,No,Yes
39,Yes,0,Two year,No,No,Yes,No
47,Yes,7,Month-to-month,No,Yes,Yes,Yes
56,Yes,0,Month-to-month,No,No,No,No
40,Yes,0,Month-to-month,No,No,Yes,No
62,Yes,0,Month-to-month,No,No,No,No
61,Yes,0,Month-to-month,No,No,No,No
46,Yes,1,Month-to-month,No,Yes,No,Yes
75,Yes,3,Month-to-month,No,Yes,Yes,Yes
70,Yes,0,Month-to-month,No,No,No,No
61,Yes,0,Month-to-month,No,No,No,No
38,Yes,1,Two year,Yes,Yes,Yes,Yes
48,Yes,1,Two year,Yes,Yes,Yes,Yes
65,Yes,1,Month-to-month,No,Yes,No,Yes
42,Yes,3,Month-to-month,No,Yes,No,Yes
61,Yes,0,Month-to-month,No,No,No,No
60,Yes,0,Month-to-month,No,No,No,No
52,Yes,0,Two year,No,No,Yes,No
32,Yes,0,Month-to-month,No,No,No,No
71,Yes,0,Month-to-month,No,No,Yes,No
54,Yes,1,Month-to-month,No,Yes,Yes,Yes
49,Yes,9,Month-to-month,Yes,Yes,No,Yes
22,Yes,0,Month-to-month,No,No,No,No
72,Yes,0,Month-to-month,No,No,No,No
29,Yes,1,Month-to-month,No,Yes,No,Yes
30,Yes,0,Month-to-month,No,No,No,No
28,Yes,0,Month-to-month,No,No,No,No
39,Yes,1,Month-to-month,No,Yes,No,Yes
49,Yes,0,Month-to-month,No,No,Yes,No
28,Yes,0,Month-to-month,No,No,No,No
69,Yes,0,Month-to-month,No,No,No,No
52,Yes,0,Month-to-month,No,No,No,No
33,Yes,1,Month-to-month,Yes,Yes,No,Yes
53,Yes,1,Month-to-month,No,Yes,No,Yes
62,Yes,0,Month-to-month,No,No,No,No
40,Yes,0,Month-to-month,No,No,No,No
23,Yes,0,Month-to-month,No,No,Yes,No
53,Yes,1,Month-to-month,No,Yes,No,Yes
35,Yes,0,Month-to-month,Yes,No,No,No
58,Yes,1,Month-to-month,No,Yes,Yes,Yes
63,Yes,0,Month-to-month,No,No,No,No
27,Yes,0,Month-to-month,No,No,No,No
70,Yes,0,Month-to-month,No,No,No,No
31,Yes,1,Month-to-month,Yes,Yes,No,Yes
64,Yes,0,Month-to-month,Yes,No,Yes,No
47,Yes,0,Month-to-month,No,No,No,No
80,Yes,1,Month-to-month,No,Yes,No,Yes
35,Yes,0,Month-to-month,No,No,No,No
73,Yes,1,One year,No,Yes,Yes,Yes
73,Yes,0,Month-to-month,No,No,No,No
48,Yes,1,Month-to-month,No,Yes,Yes,Yes
21,Yes,1,One year,No,Yes,Yes,Yes
45,Yes,1,Month-to-month,Yes,Yes,No,Yes
79,Yes,1,Month-to-month,Yes,Yes,No,Yes
39,Yes,0,Month-to-month,No,No,No,No
79,Yes,1,Month-to-month,No,Yes,No,Yes
21,Yes,4,Month-to-month,Yes,Yes,No,Yes
22,Yes,0,Month-to-month,No,No,Yes,No
45,Yes,0,Month-to-month,No,No,No,No
73,Yes,5,Month-to-month,No,Yes,Yes,Yes
23,Yes,0,Month-to-month,No,No,No,No
42,Yes,0,Month-to-month,No,No,Yes,No
56,Yes,0,Month-to-month,No,No,No,No
54,Yes,0,Month-to-month,No,No,No,No
46,Yes,0,Month-to-month,No,No,No,No
77,Yes,2,Month-to-month,No,Yes,No,Yes
53,Yes,0,Month-to-month,No,No,No,No
68,Yes,5,One year,No,Yes,No,Yes
29,Yes,0,One year,No,No,Yes,No
70,Yes,0,Month-to-month,No,No,No,No
68,Yes,0,Month-to-month,No,No,No,No
42,Yes,0,Month-to-month,No,No,Yes,No
76,Yes,0,Month-to-month,No,No,Yes,No
26,Yes,0,Month-to-month,No,No,No,No
28,Yes,0,Month-to-month,No,No,No,No
33,Yes,0,Month-to-month,No,Yes,No,No
31,Yes,0,Month-to-month,Yes,No,No,No
29,Yes,1,Month-to-month,Yes,Yes,No,Yes
57,Yes,1,Month-to-month,Yes,Yes,No,Yes
68,Yes,0,Month-to-month,No,No,No,No
29,Yes,0,Month-to-month,Yes,No,No,No
80,Yes,0,Month-to-month,No,Yes,No,No
30,Yes,2,Month-to-month,No,Yes,No,Yes
53,Yes,0,Month-to-month,No,No,No,No
47,Yes,1,Month-to-month,Yes,Yes,No,Yes
79,Yes,0,One year,No,No,No,No
63,Yes,0,Month-to-month,No,No,No,No
78,Yes,0,Month-to-month,No,No,No,No
76,Yes,1,Month-to-month,No,Yes,No,Yes
31,Yes,7,Month-to-month,Yes,Yes,No,Yes
31,Yes,0,Month-to-month,No,No,No,No
63,Yes,0,Month-to-month,No,No,No,No
34,Yes,1,Month-to-month,Yes,Yes,No,Yes
43,Yes,0,Month-to-month,No,No,No,No
52,Yes,0,Month-to-month,Yes,No,No,No
41,Yes,0,Month-to-month,No,No,No,No
65,Yes,0,Month-to-month,No,No,No,No
44,Yes,0,One year,No,No,No,No
46,Yes,0,Month-to-month,No,No,No,No
80,Yes,1,One year,No,Yes,Yes,Yes
53,Yes,2,Month-to-month,Yes,Yes,No,Yes
39,Yes,0,One year,No,No,No,No
34,Yes,0,Month-to-month,No,No,No,No
52,Yes,1,Month-to-month,Yes,Yes,No,Yes
55,Yes,1,Month-to-month,Yes,Yes,No,Yes
65,Yes,0,Month-to-month,No,No,No,No
45,Yes,0,Month-to-month,No,No,No,No
78,Yes,0,Month-to-month,No,No,No,No
78,Yes,1,Month-to-month,No,Yes,No,Yes
43,Yes,1,Month-to-month,No,Yes,No,Yes
68,Yes,0,Month-to-month,No,No,No,No
73,Yes,1,Month-to-month,No,Yes,No,Yes
75,Yes,1,Month-to-month,No,Yes,No,Yes
51,Yes,1,Month-to-month,No,Yes,No,Yes
25,Yes,0,Month-to-month,No,No,No,No
42,Yes,0,Month-to-month,No,No,Yes,No
22,Yes,0,One year,No,No,Yes,No
21,Yes,1,Two year,Yes,Yes,No,Yes
54,Yes,0,Month-to-month,No,No,No,No
66,Yes,1,Month-to-month,No,Yes,No,Yes
50,Yes,1,Month-to-month,No,Yes,Yes,Yes
73,Yes,0,Month-to-month,No,No,No,No
57,Yes,0,One year,No,No,Yes,No
73,Yes,0,Month-to-month,No,No,Yes,No
25,Yes,1,Month-to-month,Yes,Yes,Yes,Yes
27,Yes,1,Month-to-month,No,Yes,No,Yes
70,Yes,1,Month-to-month,No,Yes,No,Yes
27,Yes,0,Month-to-month,No,No,No,No
24,Yes,1,One year,Yes,Yes,No,Yes
26,Yes,0,Month-to-month,No,No,No,No
34,Yes,3,Month-to-month,No,Yes,No,Yes
74,Yes,1,Month-to-month,No,Yes,No,Yes
54,Yes,1,Month-to-month,Yes,Yes,No,Yes
24,Yes,0,One year,No,No,Yes,No
33,Yes,1,Month-to-month,No,Yes,No,Yes
57,Yes,3,Month-to-month,No,Yes,Yes,Yes
64,Yes,0,Month-to-month,No,No,No,No
70,Yes,1,Month-to-month,No,Yes,No,Yes
71,Yes,0,Month-to-month,No,No,No,No
66,Yes,1,One year,No,Yes,Yes,Yes
21,Yes,1,Two year,Yes,Yes,Yes,Yes
68,Yes,1,Month-to-month,No,Yes,No,Yes
56,Yes,0,Month-to-month,No,No,No,No
19,Yes,0,Month-to-month,No,No,No,No
73,Yes,1,Month-to-month,No,Yes,No,Yes
39,Yes,3,Month-to-month,Yes,Yes,No,Yes
34,Yes,0,Month-to-month,No,No,No,No
61,Yes,0,Month-to-month,No,No,No,No
33,Yes,0,Month-to-month,Yes,No,No,No
55,Yes,3,Month-to-month,No,Yes,No,Yes
30,Yes,0,Month-to-month,No,No,No,No
21,Yes,4,Month-to-month,No,Yes,No,Yes
51,Yes,0,Month-to-month,No,No,No,No
37,Yes,0,Month-to-month,No,No,No,No
77,Yes,1,Month-to-month,No,Yes,No,Yes
73,Yes,3,Month-to-month,No,Yes,No,Yes
65,Yes,1,Month-to-month,No,Yes,No,Yes
20,Yes,0,One year,No,No,Yes,No
19,Yes,0,Month-to-month,No,No,No,No
36,Yes,1,Month-to-month,No,Yes,No,Yes
65,Yes,0,Month-to-month,No,No,No,No
78,Yes,0,Month-to-month,No,No,Yes,No
34,Yes,0,Month-to-month,No,No,Yes,No
69,Yes,0,Month-to-month,No,Yes,No,No
30,Yes,2,Month-to-month,No,Yes,No,Yes
35,Yes,0,Month-to-month,No,No,No,No
49,Yes,0,Month-to-month,No,No,No,No
40,Yes,0,Month-to-month,No,No,No,No
53,Yes,0,Month-to-month,No,Yes,No,No
29,Yes,0,Month-to-month,No,No,No,No
51,Yes,4,Month-to-month,Yes,Yes,Yes,Yes
49,Yes,0,Month-to-month,No,No,No,No
30,Yes,0,Month-to-month,No,No,No,No
42,Yes,1,Month-to-month,No,Yes,No,Yes
27,Yes,0,Month-to-month,No,No,No,No
47,Yes,0,Month-to-month,No,No,No,No
64,Yes,0,Month-to-month,No,No,No,No
67,Yes,0,Month-to-month,No,No,No,No
42,Yes,1,One year,No,Yes,Yes,Yes
24,Yes,0,Month-to-month,No,No,No,No
20,Yes,0,Month-to-month,No,No,No,No
36,Yes,0,Month-to-month,No,No,Yes,No
74,Yes,0,Month-to-month,No,No,No,No
34,Yes,1,One year,Yes,Yes,Yes,Yes
37,Yes,1,Month-to-month,No,Yes,No,Yes
77,Yes,0,Month-to-month,No,No,No,No
38,Yes,1,Month-to-month,Yes,Yes,Yes,Yes
79,Yes,0,Month-to-month,No,No,No,No
68,Yes,0,Month-to-month,No,No,No,No
25,Yes,1,Month-to-month,Yes,Yes,No,Yes
27,Yes,0,Month-to-month,No,No,No,No
76,Yes,6,Month-to-month,No,Yes,No,Yes
54,Yes,0,Month-to-month,No,No,No,No
80,Yes,5,Month-to-month,Yes,Yes,No,Yes
48,Yes,0,Month-to-month,No,No,No,No
59,Yes,0,Month-to-month,Yes,No,No,No
47,Yes,0,Month-to-month,No,No,No,No
62,Yes,0,Month-to-month,No,No,No,No
72,Yes,0,Month-to-month,No,No,No,No
78,Yes,0,Month-to-month,No,No,No,No
43,Yes,0,Month-to-month,No,No,No,No
67,Yes,0,Month-to-month,No,No,No,No
62,Yes,0,Month-to-month,No,No,No,No
29,Yes,0,Month-to-month,No,No,No,No
36,Yes,0,Month-to-month,No,No,No,No
25,Yes,0,Two year,No,No,Yes,No
55,Yes,2,Two year,No,Yes,No,Yes
42,Yes,0,Month-to-month,No,No,No,No
20,Yes,0,Month-to-month,No,No,No,No
40,Yes,0,Month-to-month,No,No,No,No
74,Yes,0,Month-to-month,No,No,No,No
31,Yes,0,One year,No,No,Yes,No
63,Yes,0,Month-to-month,No,No,No,No
64,Yes,0,Month-to-month,No,No,No,No
42,Yes,1,Month-to-month,No,Yes,No,Yes
61,Yes,0,Month-to-month,No,No,No,No
30,Yes,1,Month-to-month,Yes,Yes,Yes,Yes
68,Yes,0,One year,No,No,Yes,No
34,Yes,0,Month-to-month,Yes,No,Yes,No
54,Yes,0,Month-to-month,No,No,No,No
66,Yes,5,Month-to-month,No,Yes,No,Yes
71,Yes,3,Month-to-month,Yes,Yes,Yes,Yes
28,Yes,1,Month-to-month,Yes,Yes,Yes,Yes
39,Yes,5,One year,No,Yes,No,Yes
44,Yes,0,Month-to-month,No,No,No,No
65,Yes,2,Month-to-month,No,Yes,No,Yes
65,Yes,0,Month-to-month,No,No,No,No
41,Yes,0,Month-to-month,No,No,No,No
31,Yes,0,Month-to-month,No,No,No,No
49,Yes,0,Month-to-month,No,No,Yes,No
40,Yes,5,Month-to-month,Yes,Yes,No,Yes
54,Yes,0,Month-to-month,No,No,No,No
28,Yes,0,Month-to-month,Yes,No,No,No
31,Yes,0,Month-to-month,No,No,No,No
36,Yes,1,One year,Yes,Yes,Yes,Yes
60,Yes,3,Two year,Yes,Yes,No,Yes
43,Yes,0,Month-to-month,Yes,No,Yes,No
58,Yes,0,Two year,No,No,Yes,No
51,Yes,1,Month-to-month,Yes,Yes,No,Yes
69,Yes,1,Month-to-month,No,Yes,No,Yes
51,Yes,1,Two year,No,Yes,No,Yes
50,Yes,0,Month-to-month,No,No,No,No
35,Yes,0,Month-to-month,No,No,No,No
68,Yes,0,Month-to-month,No,No,No,No
37,Yes,0,One year,Yes,No,Yes,No
34,Yes,0,One year,No,No,Yes,No
68,Yes,1,Month-to-month,No,Yes,No,Yes
41,Yes,0,Month-to-month,No,No,Yes,No
34,Yes,0,Month-to-month,No,No,No,No
49,Yes,0,Month-to-month,No,No,No,No
47,Yes,0,Month-to-month,No,No,No,No
32,Yes,0,Month-to-month,No,No,No,No
39,Yes,1,Month-to-month,No,Yes,Yes,Yes
41,Yes,0,Month-to-month,No,No,No,No
53,Yes,0,Month-to-month,No,No,No,No
44,Yes,0,Month-to-month,No,No,No,No
30,Yes,0,Month-to-month,No,No,No,No
76,Yes,1,Month-to-month,No,Yes,No,Yes
64,Yes,0,Month-to-month,No,No,No,No
33,Yes,0,Month-to-month,No,No,No,No
27,Yes,0,Month-to-month,No,No,No,No
37,Yes,1,Month-to-month,Yes,Yes,No,Yes
25,Yes,1,Month-to-month,Yes,Yes,No,Yes
74,Yes,1,Month-to-month,No,Yes,No,Yes
53,Yes,0,Month-to-month,No,No,No,No
22,Yes,0,Month-to-month,Yes,No,No,No
59,Yes,0,Month-to-month,No,No,No,No
58,Yes,0,Month-to-month,No,No,No,No
54,Yes,0,Month-to-month,Yes,No,No,No
42,Yes,0,One year,Yes,No,Yes,No
49,Yes,1,Month-to-month,Yes,Yes,No,Yes
79,Yes,0,Month-to-month,No,No,No,No
26,Yes,0,One year,No,No,No,No
51,Yes,1,One year,No,Yes,Yes,Yes
46,Yes,0,Month-to-month,No,No,Yes,No
29,Yes,0,Month-to-month,No,No,No,No
69,Yes,0,Month-to-month,No,No,No,No
31,Yes,0,Month-to-month,No,No,No,No
49,Yes,0,Month-to-month,No,No,No,No
27,Yes,1,Month-to-month,No,Yes,Yes,Yes
74,Yes,0,Month-to-month,No,No,No,No
62,Yes,0,Month-to-month,No,No,No,No
24,Yes,0,Month-to-month,No,No,No,No
71,Yes,1,Month-to-month,No,Yes,No,Yes
39,Yes,1,Month-to-month,Yes,Yes,No,Yes
51,Yes,0,Month-to-month,No,No,No,No
56,Yes,0,Month-to-month,No,No,No,No
30,Yes,1,Month-to-month,No,Yes,Yes,Yes
57,Yes,0,Month-to-month,No,No,Yes,No
26,Yes,1,Month-to-month,No,Yes,No,Yes
46,Yes,1,Month-to-month,Yes,Yes,No,Yes
69,Yes,0,One year,No,No,Yes,No
60,Yes,1,Month-to-month,No,Yes,Yes,Yes
20,Yes,0,Month-to-month,Yes,No,No,No
22,Yes,0,One year,No,No,Yes,No
25,Yes,0,Month-to-month,No,No,No,No
49,Yes,0,Month-to-month,Yes,Yes,No,No
39,Yes,0,Month-to-month,No,No,No,No
34,Yes,0,Month-to-month,No,No,No,No
44,Yes,0,Month-to-month,No,No,No,No
74,Yes,0,Month-to-month,No,No,No,No
79,Yes,0,Month-to-month,No,No,No,No
69,Yes,0,Month-to-month,No,Yes,No,No
19,Yes,1,Month-to-month,No,Yes,Yes,Yes
33,Yes,0,Month-to-month,No,No,No,No
31,Yes,1,Month-to-month,Yes,Yes,No,Yes
21,Yes,0,Month-to-month,No,No,No,No
62,Yes,1,Month-to-month,No,Yes,No,Yes
80,Yes,0,Month-to-month,No,No,No,No
54,Yes,1,Month-to-month,No,Yes,No,Yes
40,Yes,0,Month-to-month,No,No,No,No
47,Yes,0,Two year,Yes,No,Yes,No
65,Yes,0,Month-to-month,No,No,No,No
78,Yes,1,Month-to-month,No,Yes,No,Yes
28,Yes,0,Month-to-month,No,No,No,No
75,Yes,0,Month-to-month,No,No,No,No
55,Yes,1,Month-to-month,No,Yes,No,Yes
73,Yes,1,Month-to-month,No,Yes,No,Yes
27,Yes,0,Month-to-month,No,No,No,No
80,Yes,0,Two year,No,No,Yes,No
74,Yes,0,Month-to-month,No,No,No,No
50,Yes,0,Month-to-month,No,No,Yes,No
65,Yes,0,Month-to-month,No,No,No,No
46,Yes,0,Month-to-month,No,No,No,No
38,Yes,0,Month-to-month,No,No,Yes,No
38,Yes,5,Month-to-month,Yes,Yes,Yes,Yes
71,Yes,0,Month-to-month,No,No,No,No
51,Yes,1,One year,Yes,Yes,No,Yes
44,Yes,0,Month-to-month,Yes,No,No,No
60,Yes,0,Month-to-month,No,No,No,No
51,Yes,0,Month-to-month,No,No,No,No
46,Yes,0,One year,No,No,Yes,No
74,Yes,3,Month-to-month,No,Yes,No,Yes
53,Yes,0,Month-to-month,Yes,No,No,No
44,Yes,0,Two year,No,No,Yes,No
43,Yes,0,Month-to-month,No,No,No,No
62,Yes,0,Month-to-month,No,No,No,No
50,Yes,0,Month-to-month,No,No,No,No
57,Yes,0,One year,No,No,No,No
62,Yes,1,Month-to-month,Yes,Yes,No,Yes
59,Yes,3,One year,No,Yes,Yes,Yes
76,Yes,1,Month-to-month,No,Yes,No,Yes
56,Yes,0,Month-to-month,No,No,Yes,No
40,Yes,1,Month-to-month,No,Yes,No,Yes
61,Yes,5,Two year,No,Yes,Yes,Yes
32,Yes,0,Month-to-month,No,No,No,No
73,Yes,0,Month-to-month,No,No,No,No
34,Yes,0,Month-to-month,No,No,Yes,No
71,Yes,1,Month-to-month,No,Yes,No,Yes
72,Yes,0,Month-to-month,No,No,No,No
22,Yes,0,Month-to-month,No,No,No,No
76,Yes,1,Month-to-month,No,Yes,No,Yes
31,Yes,0,Month-to-month,No,No,Yes,No
45,Yes,0,Month-to-month,No,No,No,No
58,Yes,1,Month-to-month,No,Yes,No,Yes
56,Yes,0,Month-to-month,No,No,No,No
56,Yes,0,Month-to-month,No,No,Yes,No
36,Yes,1,Month-to-month,Yes,Yes,No,Yes
22,Yes,0,Month-to-month,No,No,No,No
61,Yes,1,Month-to-month,Yes,Yes,Yes,Yes
69,Yes,0,Month-to-month,No,No,No,No
80,Yes,0,Month-to-month,No,No,No,No
56,Yes,0,Month-to-month,No,No,No,No
54,Yes,0,Month-to-month,No,No,No,No
60,Yes,1,One year,Yes,Yes,Yes,Yes
64,Yes,0,Month-to-month,No,No,No,No
58,Yes,0,Month-to-month,No,No,No,No
61,Yes,1,Month-to-month,No,Yes,No,Yes
27,Yes,0,Month-to-month,Yes,No,No,No
78,Yes,0,Month-to-month,No,No,No,No
55,Yes,1,Month-to-month,Yes,Yes,No,Yes
71,Yes,1,Month-to-month,No,Yes,No,Yes
55,Yes,0,Month-to-month,No,No,No,No
27,Yes,0,Month-to-month,No,No,No,No
25,Yes,0,Month-to-month,No,No,No,No
40,Yes,0,Month-to-month,Yes,No,No,No
73,Yes,1,Month-to-month,No,Yes,No,Yes
47,Yes,1,One year,No,Yes,Yes,Yes
57,Yes,0,Month-to-month,No,No,No,No
22,Yes,0,Month-to-month,No,No,No,No
33,Yes,1,Month-to-month,No,Yes,No,Yes
27,Yes,0,Month-to-month,No,No,No,No
57,Yes,1,Month-to-month,Yes,Yes,No,Yes
37,Yes,1,Month-to-month,Yes,Yes,No,Yes
34,Yes,1,Two year,Yes,Yes,No,Yes
20,Yes,0,Month-to-month,No,No,No,No
79,Yes,0,Month-to-month,No,No,No,No
55,Yes,1,Month-to-month,No,Yes,No,Yes
72,Yes,1,Month-to-month,No,Yes,No,Yes
69,Yes,0,Month-to-month,No,No,No,No
79,Yes,0,Month-to-month,No,No,No,No
22,Yes,0,Month-to-month,No,No,No,No
52,Yes,0,Month-to-month,No,No,No,No
68,Yes,1,Month-to-month,No,Yes,Yes,Yes
77,Yes,0,One year,No,No,Yes,No
68,Yes,0,Month-to-month,No,No,No,No
63,Yes,1,Month-to-month,No,Yes,Yes,Yes
53,Yes,0,Month-to-month,No,No,No,No
79,Yes,1,Month-to-month,No,Yes,No,Yes
49,Yes,1,One year,Yes,Yes,Yes,Yes
29,Yes,0,Month-to-month,No,No,No,No
63,Yes,0,Month-to-month,No,No,No,No
51,Yes,0,Month-to-month,No,No,No,No
68,Yes,0,Month-to-month,No,No,No,No
47,Yes,0,Month-to-month,No,No,No,No
73,Yes,1,Month-to-month,No,Yes,No,Yes
28,Yes,0,Month-to-month,No,No,Yes,No
64,Yes,1,Month-to-month,Yes,Yes,No,Yes
44,Yes,0,One year,No,No,Yes,No
40,Yes,0,Month-to-month,No,No,No,No
79,Yes,0,Month-to-month,No,No,No,No
28,Yes,0,Month-to-month,No,No,No,No
75,Yes,0,Month-to-month,No,Yes,No,No
36,No,0,Month-to-month,No,Yes,No,No
46,No,0,One year,No,No,No,No
53,No,0,One year,No,No,Yes,No
42,No,0,Month-to-month,Yes,No,No,No
42,No,0,Month-to-month,No,No,No,No
48,No,0,One year,Yes,No,No,No
37,No,1,Month-to-month,Yes,Yes,No,Yes
21,No,0,Two year,No,No,No,No
39,No,7,One year,No,Yes,No,Yes
27,No,0,Month-to-month,No,No,Yes,No
48,No,7,Two year,Yes,Yes,Yes,Yes
57,No,0,One year,No,No,No,No
61,No,0,Two year,Yes,No,No,No
